Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26401017events-3_pair136,26401017events-3.csv,136,2,"[0.9502054794520548, 0.951027397260274]",0.9506164383561644,0.9502054794520548,0.951027397260274,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair39,26401017events-2.csv,39,15,"[0.8236301369863014, 0.8244520547945206, 0.8265068493150685, 0.826917808219178, 0.8282876712328767, 0.8286986301369863, 0.8291095890410959, 0.8319863013698631, 0.8344520547945206, 0.8348630136986301, 0.8352739726027397, 0.8356849315068493, 0.8366438356164384, 0.837054794520548, 0.8395205479452055]",0.8315388127853881,0.8236301369863014,0.8395205479452055,7300.0,IgG,0.417,0.417,0.889
26401017events-3_pair151,26401017events-3.csv,151,2,"[0.9478767123287671, 0.9521232876712329]",0.95,0.9478767123287672,0.9521232876712328,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair86,26401017events-3.csv,86,2,"[0.951027397260274, 0.9530821917808219]",0.952054794520548,0.951027397260274,0.953082191780822,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-4_pair10,26401017events-4.csv,10,2,"[0.9466438356164384, 0.9474657534246576]",0.947054794520548,0.9466438356164384,0.9474657534246576,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair16,26401017events-3.csv,16,2,"[0.9511643835616438, 0.9545890410958904]",0.9528767123287673,0.9511643835616438,0.9545890410958904,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair48,26401017events-3.csv,48,3,"[0.9421232876712329, 0.9496575342465754, 0.9521232876712329]",0.9479680365296804,0.9421232876712328,0.9521232876712328,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair91,26401017events-3.csv,91,3,"[0.9484246575342465, 0.950068493150685, 0.9539041095890411]",0.9507990867579909,0.9484246575342464,0.9539041095890411,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-2_pair56,26401017events-2.csv,56,9,"[0.8069178082191781, 0.811027397260274, 0.8148630136986301, 0.8173287671232877, 0.8595205479452055, 0.8633561643835617, 0.8745890410958904, 0.8754109589041096, 0.8792465753424658]",0.8446955859969558,0.8069178082191781,0.8792465753424658,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair155,26401017events-3.csv,155,2,"[0.9486986301369863, 0.9515753424657534]",0.9501369863013698,0.9486986301369864,0.9515753424657534,7300.0,apo-Tf,0.65,0.65,0.963
