Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used
26513024Events_pair20,26513024Events.csv,20,1,[0.9571111111111111],0.9571111111111111,0.9571111111111111,0.9571111111111111,2250.0
26513024Events_pair21,26513024Events.csv,21,2,"[0.8646666666666667, 0.9162222222222223]",0.8904444444444445,0.8646666666666667,0.9162222222222223,2250.0
26513024Events_pair22,26513024Events.csv,22,2,"[0.9353333333333333, 0.9597777777777777]",0.9475555555555555,0.9353333333333333,0.9597777777777777,2250.0
26513024Events_pair23,26513024Events.csv,23,1,[0.9731111111111111],0.9731111111111111,0.9731111111111111,0.9731111111111111,2250.0
26513024Events_pair24,26513024Events.csv,24,1,[0.9597777777777777],0.9597777777777777,0.9597777777777777,0.9597777777777777,2250.0
26513024Events_pair25,26513024Events.csv,25,1,[0.9757777777777777],0.9757777777777777,0.9757777777777777,0.9757777777777777,2250.0
26513024Events_pair26,26513024Events.csv,26,1,[0.9624444444444444],0.9624444444444444,0.9624444444444444,0.9624444444444444,2250.0
26513024Events_pair27,26513024Events.csv,27,1,[0.9544444444444444],0.9544444444444444,0.9544444444444444,0.9544444444444444,2250.0
26513024Events_pair28,26513024Events.csv,28,1,[0.9651111111111111],0.9651111111111111,0.9651111111111111,0.9651111111111111,2250.0
26513024Events_pair29,26513024Events.csv,29,1,[0.9784444444444444],0.9784444444444444,0.9784444444444444,0.9784444444444444,2250.0
26513024Events_pair30,26513024Events.csv,30,0,[],,,,2250.0
26513024Events_pair31,26513024Events.csv,31,0,[],,,,2250.0
26513024Events_pair32,26513024Events.csv,32,0,[],,,,2250.0
26513024Events_pair33,26513024Events.csv,33,0,[],,,,2250.0
26513024Events_pair34,26513024Events.csv,34,0,[],,,,2250.0
26513024Events_pair35,26513024Events.csv,35,1,[0.9677777777777777],0.9677777777777777,0.9677777777777777,0.9677777777777777,2250.0
26513024Events_pair36,26513024Events.csv,36,1,[0.9784444444444444],0.9784444444444444,0.9784444444444444,0.9784444444444444,2250.0
26513024Events_pair37,26513024Events.csv,37,0,[],,,,2250.0
26513024Events_pair38,26513024Events.csv,38,0,[],,,,2250.0
26513024Events_pair39,26513024Events.csv,39,1,[0.9784444444444444],0.9784444444444444,0.9784444444444444,0.9784444444444444,2250.0
26513024Events_pair40,26513024Events.csv,40,0,[],,,,2250.0
26513024Events_pair41,26513024Events.csv,41,0,[],,,,2250.0
26513024Events_pair42,26513024Events.csv,42,0,[],,,,2250.0
26513024Events_pair43,26513024Events.csv,43,1,[0.9784444444444444],0.9784444444444444,0.9784444444444444,0.9784444444444444,2250.0
26513024Events_pair44,26513024Events.csv,44,0,[],,,,2250.0
26513024Events_pair45,26513024Events.csv,45,0,[],,,,2250.0
26513024Events_pair46,26513024Events.csv,46,0,[],,,,2250.0
26513024Events_pair47,26513024Events.csv,47,0,[],,,,2250.0
26513024Events_pair48,26513024Events.csv,48,0,[],,,,2250.0
26513024Events_pair49,26513024Events.csv,49,0,[],,,,2250.0
26513024Events_pair50,26513024Events.csv,50,0,[],,,,2250.0
26513024Events_pair51,26513024Events.csv,51,0,[],,,,2250.0
26513024Events_pair52,26513024Events.csv,52,0,[],,,,2250.0
26513024Events_pair53,26513024Events.csv,53,1,[0.9757777777777777],0.9757777777777777,0.9757777777777777,0.9757777777777777,2250.0
26513024Events_pair54,26513024Events.csv,54,0,[],,,,2250.0
26513024Events_pair55,26513024Events.csv,55,1,[0.9757777777777777],0.9757777777777777,0.9757777777777777,0.9757777777777777,2250.0
26513024Events_pair56,26513024Events.csv,56,0,[],,,,2250.0
26513024Events_pair57,26513024Events.csv,57,0,[],,,,2250.0
