Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak
26516014Events-2_pair57,26516014Events-2.csv,57,1,[0.9393877551020409],0.939387755,0.939387755,0.939387755
26516014Events-2_pair58,26516014Events-2.csv,58,2,"[0.9340816326530612, 0.9540816326530612]",0.944081633,0.934081633,0.954081633
26516014Events-2_pair59,26516014Events-2.csv,59,1,[0.9218367346938775],0.921836735,0.921836735,0.921836735
26516014Events-2_pair60,26516014Events-2.csv,60,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair61,26516014Events-2.csv,61,1,[0.9218367346938775],0.921836735,0.921836735,0.921836735
26516014Events-2_pair62,26516014Events-2.csv,62,1,[0.9193877551020408],0.919387755,0.919387755,0.919387755
26516014Events-2_pair63,26516014Events-2.csv,63,3,"[0.3414285714285714, 0.5704081632653061, 0.9393877551020409]",0.61707483,0.341428571,0.939387755
26516014Events-2_pair64,26516014Events-2.csv,64,1,[0.946734693877551],0.946734694,0.946734694,0.946734694
26516014Events-2_pair65,26516014Events-2.csv,65,1,[0.9614285714285714],0.961428571,0.961428571,0.961428571
26516014Events-2_pair66,26516014Events-2.csv,66,1,[0.9316326530612244],0.931632653,0.931632653,0.931632653
26516014Events-2_pair67,26516014Events-2.csv,67,1,[0.9393877551020409],0.939387755,0.939387755,0.939387755
26516014Events-2_pair68,26516014Events-2.csv,68,1,[0.9316326530612244],0.931632653,0.931632653,0.931632653
26516014Events-2_pair69,26516014Events-2.csv,69,1,[0.9291836734693878],0.929183673,0.929183673,0.929183673
26516014Events-2_pair70,26516014Events-2.csv,70,1,[0.9418367346938775],0.941836735,0.941836735,0.941836735
26516014Events-2_pair71,26516014Events-2.csv,71,2,"[0.9340816326530612, 0.9540816326530612]",0.944081633,0.934081633,0.954081633
26516014Events-2_pair72,26516014Events-2.csv,72,1,[0.9316326530612244],0.931632653,0.931632653,0.931632653
26516014Events-2_pair73,26516014Events-2.csv,73,1,[0.9418367346938775],0.941836735,0.941836735,0.941836735
26516014Events-2_pair74,26516014Events-2.csv,74,1,[0.946734693877551],0.946734694,0.946734694,0.946734694
26516014Events-2_pair75,26516014Events-2.csv,75,2,"[0.946734693877551, 0.9667346938775511]",0.956734694,0.946734694,0.966734694
26516014Events-2_pair76,26516014Events-2.csv,76,1,[0.936530612244898],0.936530612,0.936530612,0.936530612
26516014Events-2_pair77,26516014Events-2.csv,77,1,[0.9340816326530612],0.934081633,0.934081633,0.934081633
26516014Events-2_pair78,26516014Events-2.csv,78,1,[0.9418367346938775],0.941836735,0.941836735,0.941836735
26516014Events-2_pair79,26516014Events-2.csv,79,1,[0.946734693877551],0.946734694,0.946734694,0.946734694
26516014Events-2_pair80,26516014Events-2.csv,80,1,[0.9614285714285714],0.961428571,0.961428571,0.961428571
26516014Events-2_pair81,26516014Events-2.csv,81,1,[0.6675510204081633],0.66755102,0.66755102,0.66755102
26516014Events-2_pair82,26516014Events-2.csv,82,1,[0.9516326530612245],0.951632653,0.951632653,0.951632653
26516014Events-2_pair83,26516014Events-2.csv,83,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair84,26516014Events-2.csv,84,2,"[0.36142857142857143, 0.3736734693877551]",0.36755102,0.361428571,0.373673469
26516014Events-2_pair85,26516014Events-2.csv,85,4,"[0.3087755102040816, 0.3140816326530612, 0.37612244897959185, 0.936530612244898]",0.483877551,0.30877551,0.936530612
26516014Events-2_pair86,26516014Events-2.csv,86,1,[0.926734693877551],0.926734694,0.926734694,0.926734694
26516014Events-2_pair87,26516014Events-2.csv,87,1,[0.9340816326530612],0.934081633,0.934081633,0.934081633
26516014Events-2_pair88,26516014Events-2.csv,88,1,[0.4136734693877551],0.413673469,0.413673469,0.413673469
26516014Events-2_pair89,26516014Events-2.csv,89,1,[0.9516326530612245],0.951632653,0.951632653,0.951632653
26516014Events-2_pair90,26516014Events-2.csv,90,2,"[0.9442857142857143, 0.9642857142857143]",0.954285714,0.944285714,0.964285714
26516014Events-2_pair91,26516014Events-2.csv,91,1,[0.9242857142857143],0.924285714,0.924285714,0.924285714
26516014Events-2_pair92,26516014Events-2.csv,92,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair93,26516014Events-2.csv,93,1,[0.936530612244898],0.936530612,0.936530612,0.936530612
